ITEMTYPE,ITEMID,COLOR,CODENAME
P,522,Light Bluish Gray,4549632
P,522,Light Purple,4226856
P,522,Lilac,4227827
P,522,Medium Violet,4157077
P,522,Olive Green,6079665
P,522,Olive Green,6259701
P,522,Purple,4157075
P,522,Red,4143210
P,522,Reddish Brown,4227505
P,522,Reddish Brown,6010592
P,522,Sand Green,6040330
P,522,Sand Red,4180257
P,522,White,4549636
P,522,White,6208737
P,522,Yellow,4294641
P,522c,Black,6106296
P,522c,Black,6335646
P,522c,Bright Green,6291449
P,522c,Bright Light Orange,6186297
P,522c,Bright Light Yellow,6440196
P,522c,Dark Blue,6136351
P,522c,Dark Blue,6501820
P,522c,Dark Bluish Gray,6121944
P,522c,Dark Brown,6240557
P,522c,Dark Brown,6433938
P,522c,Dark Green,6154345
P,522c,Dark Green,6613810
P,522c,Dark Red,6440195
P,522c,Green,6139734
P,522c,Olive Green,6121957
P,522c,Red,6117295
P,522c,Red,6352103
P,522c,Reddish Brown,6121952
P,522c,White,6208737
P,522cpb01,(Not Applicable),6259704
P,522cpb02,(Not Applicable),6284428
P,522cpb03,(Not Applicable),6315335
P,522cpb04,Yellow,6409588
P,522cpb05,(Not Applicable),6424300
P,522cpb06,(Not Applicable),6147211
P,522cpb07,(Not Applicable),6613693
P,522pb001,(Not Applicable),4219611
P,522pb002,(Not Applicable),6038370
P,522pb003,(Not Applicable),6038374
P,522pb003,(Not Applicable),6119419
P,522pb004,(Not Applicable),6063290
P,522pb005,(Not Applicable),6063262
P,522pb005,(Not Applicable),6116033
P,522pb006,Dark Azure,6064652
P,522pb006,White,6079657
P,522pb006,White,6122194
P,522pb007,Dark Purple,6087600
P,522pb009,White,6208812
P,522pb010,(Not Applicable),6240234
P,522px1,Black,4157076
P,522px2,White,4178991
P,522px3,(Not Applicable),4263994
P,551,Trans-Brown,4142930
P,551,Trans-Brown,4272147
P,551,Trans-Brown,4502032
P,551,Trans-Clear,3208640
P,551,Trans-Dark Blue,4116787
P,551,Trans-Green,4116788
P,551,Trans-Light Blue,4118683
P,551,Trans-Neon Green,3208649
P,551ps1,Trans-Brown,4142931
P,551ps1,Trans-Brown,4272149
P,553,Black,4216660
P,553,Black,6429056
P,553,Blue,4265690
P,553,Blue,4519904
P,553,Blue,6167491
P,553,Blue,6429061
P,553,Blue Violet,6602213
P,553,Bright Green,6398492
P,553,Bright Green,6429068
P,553,Bright Light Blue,6133056
P,553,Bright Light Yellow,6301837
P,553,Bright Pink,6096947
P,553,Bright Pink,6519484
P,553,Copper,4258065
P,553,Dark Bluish Gray,4161674
P,553,Dark Bluish Gray,6429051
P,553,Dark Green,4265392
P,553,Dark Pink,6511919
P,553,Dark Purple,4595891
P,553,Dark Purple,6152517
P,553,Dark Purple,6451957
P,553,Dark Red,4251649
P,553,Dark Red,6028338
P,553,Dark Red,6142022
P,553,Dark Red,6408430
P,553,Dark Red,6429069
P,553,Dark Tan,4609875
P,553,Dark Tan,6391926
P,553,Dark Tan,6429067
P,553,Dark Turquoise,6249559
P,553,Dark Turquoise,6429063
P,553,Flat Silver,4613255
P,553,Green,4270456
P,553,Green,6038353
P,553,Green,6429059
P,553,Light Bluish Gray,4211637
P,553,Light Bluish Gray,6429052
P,553,Light Gray,4216650
P,553,Light Nougat,6384238
P,553,Light Nougat,6429066
P,553,Lime,4279734
P,553,Lime,6429057
P,553,Magenta,6261620
P,553,Magenta,6429064
P,553,Medium Azure,6036500
P,553,Medium Azure,6429058
P,553,Medium Lavender,6596736
P,553,Medium Nougat,6454168
P,553,Olive Green,6608516
P,553,Orange,4216653
P,553,Orange,4532970
P,553,Orange,6472019
P,553,Pearl Gold,4569316
P,553,Pearl Light Gray,4548113
P,553,Red,4216657
P,553,Red,6429055
P,553,Reddish Brown,4541715
P,553,Reddish Brown,6096945
P,553,Reddish Brown,6429060
P,553,Reddish Orange,6541332
P,553,Sand Green,6278544
P,553,Sand Green,6429065
P,553,Satin Trans-Dark Pink,6331340
P,553,Satin Trans-Dark Pink,6507969
P,553,Tan,4216648
P,553,Tan,6191654
P,553,Tan,6429062
P,553,Trans-Bright Green,6435761
P,553,Trans-Bright Green,6507971
P,553,Trans-Brown,6129181
P,553,Trans-Clear,6093059
P,553,Trans-Clear,6264987
P,553,Trans-Clear,6507967
P,553,Trans-Green,6516358
P,553,Trans-Light Blue,6141588
P,553,Trans-Light Blue,6264989
P,553,Trans-Light Blue,6507968
P,553,Trans-Neon Green,6404593
P,553,Trans-Yellow,6414342
P,553,White,4216652
P,553,White,6429053
P,553,Yellow,4216656
P,553,Yellow,6429054
P,553,Yellowish Green,6056416
P,553a,Black,4158779
P,553a,Light Gray,4141478
P,553a,Orange,4125257
P,553a,Red,4185891
P,553a,Tan,4162726
P,553a,White,4124120
P,553a,Yellow,4185784
P,553pb001,Copper,4506030
P,553pb002,White,4515667
P,553pb003,Black,4293189
P,553pb003,Black,6023418
P,553pb004,Light Bluish Gray,4533122
P,553pb004,Light Bluish Gray,6020826
P,553pb005,White,4545712
P,553pb006,Flat Silver,4617762
P,553pb006,Flat Silver,6027724
P,553pb006,Pearl Light Gray,4550102
P,553pb007,Dark Green,4569593
P,553pb007,Dark Green,6022360
P,553pb008,White,4590279
P,553pb009,Dark Blue,4618329
P,553pb010,Flat Silver,4613929
P,553pb011,Red,4616787
P,553pb012,White,4655683
P,553pb013,Red,4654316
P,553pb014,Flat Silver,6005315
P,553pb014,Flat Silver,6023379
P,553pb015,White,4656819
P,553pb016,Dark Red,6028344
P,553pb017a,Flat Silver,6055159
P,553pb017b,Flat Silver,6150296
P,553pb018,White,6062980
P,553pb019,Dark Bluish Gray,6058942
P,553pb020,Flat Silver,6079016
P,553pb021,White,6078436
P,553pb022,Trans-Clear,6115147
P,553pb023,Dark Red,6141827
P,553pb024,Trans-Brown,6129200
